match_date,team1,team2,venue,city,country,toss_winner,toss_decision,winner,player_of_match,overs
2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Yuvraj Singh,20
2017-04-06,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,,Rising Pune Supergiant,field,Rising Pune Supergiant,SPD Smith,20
2017-04-07,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,,Kolkata Knight Riders,field,Kolkata Knight Riders,CA Lynn,20
2017-04-08,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Indore,,Kings XI Punjab,field,Kings XI Punjab,GJ Maxwell,20
2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Bengaluru,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,KM Jadhav,20
2017-04-09,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Rashid Khan,20
2017-04-09,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,,Mumbai Indians,field,Mumbai Indians,N Rana,20
2017-04-10,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Indore,,Royal Challengers Bangalore,bat,Kings XI Punjab,AR Patel,20
2017-04-11,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,,Rising Pune Supergiant,field,Delhi Daredevils,SV Samson,20
2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,,Mumbai Indians,field,Mumbai Indians,JJ Bumrah,20
2017-04-13,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,20
2017-04-14,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,,Mumbai Indians,field,Mumbai Indians,KA Pollard,20
2017-04-14,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Rajkot,,Gujarat Lions,field,Gujarat Lions,AJ Tye,20
2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,,Sunrisers Hyderabad,field,Kolkata Knight Riders,RV Uthappa,20
2017-04-15,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,,Delhi Daredevils,bat,Delhi Daredevils,CJ Anderson,20
