match_date,team1,team2,venue,city,country,toss_winner,toss_decision,winner,player_of_match,overs
2017-01-13,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Brisbane,,Australia,bat,Australia,MS Wade,50
2017-01-15,Australia,Pakistan,Melbourne Cricket Ground,,,Australia,bat,Pakistan,Mohammad Hafeez,50
2017-01-19,Australia,Pakistan,Western Australia Cricket Association Ground,Perth,,Australia,field,Australia,SPD Smith,50
2017-01-22,Australia,Pakistan,Sydney Cricket Ground,,,Australia,bat,Australia,DA Warner,50
2017-01-26,Australia,Pakistan,Adelaide Oval,,,Australia,bat,Australia,DA Warner,50
2016-12-04,Australia,New Zealand,Sydney Cricket Ground,,,Australia,bat,Australia,SPD Smith,50
2016-12-06,Australia,New Zealand,Manuka Oval,Canberra,,New Zealand,field,Australia,DA Warner,50
2016-12-09,Australia,New Zealand,Melbourne Cricket Ground,,,Australia,bat,Australia,DA Warner,50
2016-09-08,Scotland,Hong Kong,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,,Hong Kong,field,,,50
2016-09-10,Scotland,Hong Kong,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,,Scotland,bat,Scotland,,50
2016-06-11,Zimbabwe,India,Harare Sports Club,,,India,field,India,KL Rahul,50
2016-06-13,Zimbabwe,India,Harare Sports Club,,,India,field,India,YS Chahal,50
2016-06-15,Zimbabwe,India,Harare Sports Club,,,Zimbabwe,bat,India,KL Rahul,50
2016-12-26,New Zealand,Bangladesh,Hagley Oval,Christchurch,,New Zealand,bat,New Zealand,TWM Latham,50
2016-12-29,New Zealand,Bangladesh,Saxton Oval,Nelson,,Bangladesh,field,New Zealand,NT Broom,50
2016-12-31,New Zealand,Bangladesh,Saxton Oval,Nelson,,Bangladesh,bat,New Zealand,KS Williamson,50
2017-01-30,New Zealand,Australia,Eden Park,Auckland,,Australia,field,New Zealand,MP Stoinis,50
2017-02-05,New Zealand,Australia,Seddon Park,Hamilton,,New Zealand,bat,New Zealand,TA Boult,50
2017-02-19,New Zealand,South Africa,Seddon Park,Hamilton,,South Africa,field,South Africa,Q de Kock,50
2017-02-22,New Zealand,South Africa,Hagley Oval,Christchurch,,South Africa,field,New Zealand,LRPL Taylor,50
2017-02-25,New Zealand,South Africa,Westpac Stadium,Wellington,,South Africa,bat,South Africa,AB de Villiers,50
2017-03-01,New Zealand,South Africa,Seddon Park,Hamilton,,South Africa,bat,New Zealand,MJ Guptill,50
2017-03-04,New Zealand,South Africa,Eden Park,Auckland,,South Africa,field,South Africa,K Rabada,50
2017-06-01,England,Bangladesh,Kennington Oval,London,,England,field,England,JE Root,50
2017-06-02,Australia,New Zealand,Edgbaston,Birmingham,,New Zealand,bat,,,50
2017-06-03,South Africa,Sri Lanka,Kennington Oval,London,,Sri Lanka,field,South Africa,Imran Tahir,50
2017-06-04,India,Pakistan,Edgbaston,Birmingham,,Pakistan,field,India,Yuvraj Singh,50
2017-06-05,Australia,Bangladesh,Kennington Oval,London,,Bangladesh,bat,,,50
2017-06-06,England,New Zealand,Sophia Gardens,Cardiff,,New Zealand,field,England,JT Ball,50
2017-06-07,Pakistan,South Africa,Edgbaston,Birmingham,,South Africa,bat,Pakistan,Hasan Ali,50
2017-06-08,India,Sri Lanka,Kennington Oval,London,,Sri Lanka,field,Sri Lanka,BKG Mendis,50
2017-06-09,Bangladesh,New Zealand,Sophia Gardens,Cardiff,,New Zealand,bat,Bangladesh,Shakib Al Hasan,50
2017-06-10,England,Australia,Edgbaston,Birmingham,,England,field,England,BA Stokes,50
2017-06-11,India,South Africa,Kennington Oval,London,,India,field,India,JJ Bumrah,50
2017-06-12,Pakistan,Sri Lanka,Sophia Gardens,Cardiff,,Pakistan,field,Pakistan,Sarfraz Ahmed,50
2017-06-14,England,Pakistan,Sophia Gardens,Cardiff,,Pakistan,field,Pakistan,Hasan Ali,50
2017-06-15,Bangladesh,India,Edgbaston,Birmingham,,India,field,India,RG Sharma,50
2017-06-18,India,Pakistan,Kennington Oval,London,,India,field,Pakistan,Fakhar Zaman,50
2016-11-04,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,,Hong Kong,bat,Hong Kong,Babar Hayat,50
2016-11-06,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,,Papua New Guinea,bat,Papua New Guinea,CA Soper,50
2016-11-08,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,,Papua New Guinea,bat,Hong Kong,Anshuman Rath,50
2017-03-03,West Indies,England,"Sir Vivian Richards Stadium, North Sound",Antigua,,West Indies,field,England,EJG Morgan,50
2017-03-05,West Indies,England,"Sir Vivian Richards Stadium, North Sound",Antigua,,West Indies,bat,England,JE Root,50
