match_date,team1,team2,venue,city,country,toss_winner,toss_decision,winner,player_of_match,overs
2017-02-17,Australia,Sri Lanka,Melbourne Cricket Ground,,,Sri Lanka,field,Sri Lanka,DAS Gunaratne,20
2017-02-19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",Victoria,,Sri Lanka,field,Sri Lanka,DAS Gunaratne,20
2017-02-22,Australia,Sri Lanka,Adelaide Oval,,,Sri Lanka,field,Australia,A Zampa,20
2016-09-05,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",Londonderry,,Hong Kong,bat,Hong Kong,,20
2016-06-18,Zimbabwe,India,Harare Sports Club,,,India,field,Zimbabwe,E Chigumbura,20
2016-06-20,Zimbabwe,India,Harare Sports Club,,,Zimbabwe,bat,India,BB Sran,20
2016-06-22,Zimbabwe,India,Harare Sports Club,,,Zimbabwe,field,India,KM Jadhav,20
2017-01-03,New Zealand,Bangladesh,McLean Park,Napier,,Bangladesh,bat,New Zealand,KS Williamson,20
2017-01-06,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,,Bangladesh,field,New Zealand,C Munro,20
2017-01-08,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,,Bangladesh,field,New Zealand,CJ Anderson,20
2017-02-17,New Zealand,South Africa,Eden Park,Auckland,,New Zealand,field,South Africa,Imran Tahir,20
2017-06-21,England,South Africa,The Rose Bowl,Southampton,,South Africa,bat,England,JM Bairstow,20
2017-06-23,England,South Africa,County Ground,Taunton,,England,field,South Africa,CH Morris,20
2017-06-25,England,South Africa,Sophia Gardens,Cardiff,,South Africa,field,England,DJ Malan,20
2017-09-16,West Indies,England,Riverside Ground,Chester-le-Street,,England,field,West Indies,SP Narine,20
2017-01-26,India,England,Green Park,Kanpur,,England,field,England,MM Ali,20
2017-01-29,India,England,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,,England,field,India,JJ Bumrah,20
2017-02-01,India,England,M Chinnaswamy Stadium,Bangalore,,England,field,India,YS Chahal,20
2016-08-27,India,West Indies,Central Broward Regional Park Stadium Turf Ground,Lauderhill,,India,field,West Indies,E Lewis,20
2016-08-28,India,West Indies,Central Broward Regional Park Stadium Turf Ground,Lauderhill,,India,field,,,20
2017-02-17,Australia,New Zealand,Melbourne Cricket Ground,,,New Zealand,field,Australia,EJ Villani,20
2017-02-19,Australia,New Zealand,"Simonds Stadium, South Geelong",Victoria,,Australia,field,New Zealand,AM Peterson,20
2017-02-22,Australia,New Zealand,Adelaide Oval,,,New Zealand,bat,New Zealand,SW Bates,20
