match_id,format,season,venue,team1,team2,toss_winner,toss_decision,winner,result
1000851,Test,2016/17,Western Australia Cricket Association Ground,Australia,South Africa,South Africa,bat,South Africa,
1000853,Test,2016/17,Bellerive Oval,Australia,South Africa,South Africa,field,South Africa,
1000855,Test,2016/17,Adelaide Oval,Australia,South Africa,South Africa,bat,Australia,
1000881,Test,2016/17,"Brisbane Cricket Ground, Woolloongabba",Australia,Pakistan,Australia,bat,Australia,
1000883,Test,2016/17,Melbourne Cricket Ground,Australia,Pakistan,Pakistan,bat,Australia,
1000885,Test,2016/17,Sydney Cricket Ground,Australia,Pakistan,Australia,bat,Australia,
1000887,ODI,2016/17,"Brisbane Cricket Ground, Woolloongabba",Australia,Pakistan,Australia,bat,Australia,
1000889,ODI,2016/17,Melbourne Cricket Ground,Australia,Pakistan,Australia,bat,Pakistan,
1000891,ODI,2016/17,Western Australia Cricket Association Ground,Australia,Pakistan,Australia,field,Australia,
1000893,ODI,2016/17,Sydney Cricket Ground,Australia,Pakistan,Australia,bat,Australia,
1000895,ODI,2016/17,Adelaide Oval,Australia,Pakistan,Australia,bat,Australia,
1001349,T20,2016/17,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,
1001351,T20,2016/17,"Simonds Stadium, South Geelong",Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,
1001353,T20,2016/17,Adelaide Oval,Australia,Sri Lanka,Sri Lanka,field,Australia,
1001371,ODI,2016/17,Sydney Cricket Ground,Australia,New Zealand,Australia,bat,Australia,
1001373,ODI,2016/17,Manuka Oval,Australia,New Zealand,New Zealand,field,Australia,
1001375,ODI,2016/17,Melbourne Cricket Ground,Australia,New Zealand,Australia,bat,Australia,
1004283,ODI,2016,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,Hong Kong,field,,no result
1004285,ODI,2016,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,Scotland,bat,Scotland,
1004729,T20,2016,"Bready Cricket Club, Magheramason",Ireland,Hong Kong,Hong Kong,bat,Hong Kong,
1007649,ODI,2016,Harare Sports Club,Zimbabwe,India,India,field,India,
1007651,ODI,2016,Harare Sports Club,Zimbabwe,India,India,field,India,
1007653,ODI,2016,Harare Sports Club,Zimbabwe,India,Zimbabwe,bat,India,
1007655,T20,2016,Harare Sports Club,Zimbabwe,India,India,field,Zimbabwe,
1007657,T20,2016,Harare Sports Club,Zimbabwe,India,Zimbabwe,bat,India,
1007659,T20,2016,Harare Sports Club,Zimbabwe,India,Zimbabwe,field,India,
1019973,ODI,2016/17,Hagley Oval,New Zealand,Bangladesh,New Zealand,bat,New Zealand,
1019975,ODI,2016/17,Saxton Oval,New Zealand,Bangladesh,Bangladesh,field,New Zealand,
1019977,ODI,2016/17,Saxton Oval,New Zealand,Bangladesh,Bangladesh,bat,New Zealand,
1019979,T20,2016/17,McLean Park,New Zealand,Bangladesh,Bangladesh,bat,New Zealand,
1019981,T20,2016/17,Bay Oval,New Zealand,Bangladesh,Bangladesh,field,New Zealand,
