team,format,wins
Australia,ODI,382
India,ODI,374
England,ODI,302
South Africa,ODI,295
Sri Lanka,ODI,243
New Zealand,ODI,242
India,T20,239
Pakistan,ODI,233
England,T20,227
Australia,T20,226
Pakistan,T20,194
New Zealand,T20,183
,Test,175
West Indies,ODI,171
South Africa,T20,167
,T20,152
Mumbai Indians,T20,151
,ODI,147
West Indies,T20,147
Chennai Super Kings,T20,142
Bangladesh,ODI,138
Kolkata Knight Riders,T20,135
Sri Lanka,T20,131
Australia,Test,129
England,Test,120
Uganda,T20,120
United Arab Emirates,T20,115
Royal Challengers Bangalore,T20,114
Rajasthan Royals,T20,114
Ireland,T20,112
Bangladesh,T20,109
India,Test,106
South Africa,Test,97
Zimbabwe,T20,93
Sunrisers Hyderabad,T20,93
Nepal,T20,93
Netherlands,T20,92
Namibia,T20,91
Hong Kong,T20,88
Kings XI Punjab,T20,85
Malaysia,T20,83
Thailand,T20,76
Scotland,T20,75
Kenya,T20,70
Zimbabwe,ODI,69
Sri Lanka,Test,67
Delhi Daredevils,T20,67
Ireland,ODI,66
New Zealand,Test,64
Rwanda,T20,63
Scotland,ODI,61
Tanzania,T20,60
Germany,T20,57
Bahrain,T20,57
Pakistan,Test,55
Nigeria,T20,52
Indonesia,T20,52
Delhi Capitals,T20,51
Kuwait,T20,51
Canada,T20,49
Papua New Guinea,T20,48
Oman,T20,46
United States of America,T20,45
Japan,T20,44
Jersey,T20,39
West Indies,Test,37
United States of America,ODI,37
Gujarat Titans,T20,37
Nepal,ODI,36
Spain,T20,36
Austria,T20,36
United Arab Emirates,ODI,35
Netherlands,ODI,35
Botswana,T20,34
Italy,T20,34
Punjab Kings,T20,34
Sierra Leone,T20,32
Oman,ODI,31
Bermuda,T20,31
Singapore,T20,30
Qatar,T20,30
Romania,T20,30
Lucknow Super Giants,T20,30
Malta,T20,29
Deccan Chargers,T20,29
Namibia,ODI,28
Saudi Arabia,T20,26
Switzerland,T20,25
Vanuatu,T20,24
Portugal,T20,23
Denmark,T20,22
Norway,T20,22
Gibraltar,T20,22
Bangladesh,Test,21
Cyprus,T20,21
Belgium,T20,20
Malawi,T20,19
Mozambique,T20,18
Guernsey,T20,18
France,T20,18
Isle of Man,T20,18
Canada,ODI,18
Royal Challengers Bengaluru,T20,18
Philippines,T20,17
Hungary,T20,17
Bhutan,T20,17
Myanmar,T20,17
Sweden,T20,16
China,T20,14
Bulgaria,T20,14
Czech Republic,T20,14
Finland,T20,14
Serbia,T20,14
Cayman Islands,T20,14
Estonia,T20,14
Gujarat Lions,T20,13
Luxembourg,T20,13
Ghana,T20,13
Brazil,T20,13
Argentina,T20,13
Kenya,ODI,13
Papua New Guinea,ODI,12
Cambodia,T20,12
Pune Warriors,T20,12
Rising Pune Supergiant,T20,10
Cook Islands,T20,10
Mexico,T20,10
Maldives,T20,9
Bahamas,T20,8
Fiji,T20,8
Thailand,ODI,8
Cameroon,T20,8
Samoa,T20,7
Greece,T20,7
Panama,T20,7
Croatia,T20,7
Turkey,T20,6
Kochi Tuskers Kerala,T20,6
Hong Kong,ODI,5
Zimbabwe,Test,5
Rising Pune Supergiants,T20,5
Belize,T20,3
Israel,T20,3
Lesotho,T20,3
Eswatini,T20,3
Asia XI,ODI,3
Seychelles,T20,2
St Helena,T20,2
Costa Rica,T20,2
Ireland,Test,2
Suriname,T20,2
South Korea,T20,2
Bermuda,ODI,2
ICC World XI,T20,1
Barbados,T20,1
Gambia,T20,1
Jersey,ODI,1
Slovenia,T20,1
Turks and Caicos Island,T20,1
Africa XI,ODI,1
