epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.944,2.49337,4.48318,2.61021,0.84563,0.01754,0.02518,0.00633,2.67479,4.57091,2.47279,0.00033114,0.00033114,0.00033114
2,357.59,2.11127,3.99374,2.18515,0.18587,0.02464,0.01902,0.00398,2.35532,6.36496,2.54029,0.000651317,0.000651317,0.000651317
3,550.053,2.05189,3.78449,2.14011,0.38511,0.05201,0.0398,0.01163,2.31878,5.5786,2.38794,0.000958294,0.000958294,0.000958294
4,744.264,2.08954,3.72144,2.17995,0.18661,0.2218,0.03031,0.00713,2.33669,4.53239,2.48733,0.0009406,0.0009406,0.0009406
5,945.231,2.01617,3.53161,2.10768,0.07982,0.20781,0.04738,0.01318,2.37972,4.69413,2.6275,0.0009208,0.0009208,0.0009208
6,1140.67,2.06435,3.45922,2.13343,0.30239,0.24811,0.08122,0.02352,2.31891,4.00733,2.31588,0.000901,0.000901,0.000901
7,1336.11,2.04209,3.34565,2.09203,0.28071,0.24719,0.11343,0.02875,2.22056,3.80576,2.2967,0.0008812,0.0008812,0.0008812
8,1532.41,2.01083,3.22345,2.03582,0.24721,0.20468,0.08907,0.03094,2.22541,3.53981,2.21004,0.0008614,0.0008614,0.0008614
9,1724.62,1.97176,3.17934,2.03423,0.39675,0.17947,0.07992,0.02039,2.36241,4.17405,2.42174,0.0008416,0.0008416,0.0008416
10,1911.37,1.9656,3.08807,2.01548,0.12284,0.26864,0.107,0.03649,2.25229,3.5711,2.29257,0.0008218,0.0008218,0.0008218
11,2098.76,2.00237,3.0422,2.02166,0.11342,0.2713,0.13726,0.03705,2.2732,3.43369,2.30418,0.000802,0.000802,0.000802
12,2285.96,2.01188,3.00165,2.03095,0.30944,0.27569,0.15986,0.04151,2.33959,3.42235,2.44232,0.0007822,0.0007822,0.0007822
13,2473.71,1.97164,2.93549,2.0269,0.18682,0.28977,0.17968,0.04961,2.32842,3.25147,2.36328,0.0007624,0.0007624,0.0007624
